Person in charge,Authors,Year,Title,DOI or PMID,Language,"Country (e.g., where RCT was performed)",Included/exclude,Reason for exclusion,Reason for exclusion,Reason for exclusion (description),Data collection,Analysis,Species,Species information,"Count, n","Count, n control group","Count, n died in control group","Count, n excluded in control group","Count, n treatment group","Count, n died in treatment group","Count, n excluded in treatment group",Comment on counts,"Sex (n, ratio, percentage)",Sex,"Sex (%, male)","Age [days, months, years]",Age (mean),Age (SD),Age (min),Age (max),Age (units),Age (comment),"Weight [g, kg , pounds]",Weight (mean),Weight (SD),Weight (min),Weight (max),Weight (unit),Weight (comment),"Injury characteristics (level, severity)",Injury level,Injury severity,Injury mechanism,Injury mechanism (details),Duration of SCI,Drug(s),Drug name harmonized,MP used as main drug?,Dose (absolute dose or mg/kg),"Time (minutes pre-injury, minutes post-injury)",Treatmetn in first 24h?,Duration of treatment,"Timing (e.g., BID, PID)",Route,Route (comment when multiple),"What was assessed? (e.g., neurological,  functional recovery, spasticity, walking function, electrophysiology)",Name/type of asessement,Name of assessment harmonised,Details on assessement,Timing of assessement,Assessment on day 28 (yes/no),Was observer blinded?,Drug effect on functional assessment,Drug effect on functional assessment (details),"What was assessed? (e.g., histological measures, cavitity measures, ect )",Name/type of asessement,Timing of assessement,Was observer blinded?,Drug effect on neuroanatomical assessment,Drug effect on neuroanatomical assessment (details),Drugs given to treat infections/pain ect.,Conclusion of study,Limitations,Remarks/Comments,Combination of drugs tested,Contradictions present in the results
Lucie,Yoshino et al,1998,Role of norepinephrine and excitatory amino acids in edema of the spinal cord after experimental compression injury in rats,10.1007/s007760050021,English,,excluded,Out of scope,No drug of interest,Out of scope: no drug of interest (6-hydroxydopamine),,,rats,Wistar,,,,,,,,,male 100%,,,not reported,,,,,,,range: [400-450](g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Jadid et al,2012,The efficacy of antioxidants in functional recovery of spinal cord injured rats: An experimental study,10.1007/s10072-011-0829-4,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Wei et al,2014,"Tamoxifen reduces infiltration of inflammatory cells, apoptosis and inhibits IKK/NF-kB pathway after spinal cord injury in rats",10.1007/s10072-014-1828-z,English,,excluded,Out of scope,No assessments of interest,No assessement of interest,,,rats,"Sprague–Dawley, pathogen free",51,,,,,,,,female 100%,,,10-12 weeks,,,,,,,range: [200-220](g),,,,,,,level: T12; severity: not reported,,,,"laminectomy + weight drop contusion (NYU impactor, rod was dropped from 12.5mm height)",24h,tamoxifen,,,5 mg/kg,30 min post-injury,,single dose,-,intrathecally,,,,,,,,,,,,,,,,,,,,,,
Catherine,Kuricova et al,2014,Oral administration of inosine promotes recovery after experimental spinal cord injury in rat,10.1007/s10072-014-1840-3,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Topsakal et al,2002,Effects of methylprednisolone and dextromethorphan on lipid peroxidation in an experimental model of spinal cord injury,10.1007/s101430100183,English,,excluded,Out of scope,No assessments of interest,No assessement of interest,,,rats,albino Wistar,160,,,,,,,,male 100%,,,not reported,,,,,,,range: [250-340](g),,,,,,,level: T4-T5; severity: not reported,,,,laminectomy + compression (extradural compression for 30 sec using Yasargil aneurysmal clip with a closing force of 180g),"10, 30, 120min","methylprednisolone sodium succinate (MPSS), dextromethorphan (DM) and combination",,,"MPSS: 30 mg/kg, DM: 30 mg/kg",at the time of injury,,single dose,-,intraperitoneally,,,,,,,,,,,,,,,,,,,,,,
Catherine,Povysheva et al,2016,New xymedon analogues for stimulation of posttraumatic regeneration of the spinal cord in rats,10.1007/s10517-016-3580-2,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Xu et al,2009,Combination of dexamethasone and aminoguanidine reduces secondary damage in compression spinal cord injury,10.1007/s10571-009-9380-8,English,,included,,,,,,rats,Sprague Dawley,25,5,,,5,,,"5 animals per group (sham, control, aminoguanidine, dexamethasone, aminoguanidine + dexamethasone) ",male 100%,male,100,not reported (adult),,,,,,Adult,range: [230-255](g),,,230,255,g,,level: T12; severity: not reported,T12,Not reported,compression,"laminectomy + compression (dura intact, T11 and T13 spinal processes were clamped in a spinal compression frame, and the compression was applied by suspending the base of the compression platform (area 2 mm*5 mm) onto the exposed T12 cord under microscopic control. A weight of 50 g was applied statically to the platform for exactly 5 min)","24h, 10 days","aminoguanidine (not of interest), dexamethasone",dexamethasone,,0.025 mg/kg,1 and 4h after SCI,,2 doses,-,intraperitoneally,,neurological/functional/behavioral assessment,modified murine BBB scale,,recovery from motor disturbance was graded,once a day for 10 days after injury,,not reported,no effect,no significant difference in dexamethasone group comapred to control in terms of BBB score,histological assessment,"spinal cord water content (Water content in spinal cord tissue was obtained by the following calculations: Hemispheric water content (%) = (wet weight - dry weight)/wet weight 9 100%), BSCB permeability, neutrophil infiltration",24 h after SCI,not reported,no effect,no significant difference in % water content or neutrohpil infiltration or BSCB permeability in dexamethasone compared to control groups,"anesthesia: not reported, euthanasia: decapitation","we have also clearly demonstrated that the combination therapy of minoguanidine (AG) and dexamethasone (DEX) significantly ameliorated the recovery of limb function (evaluated by motor recovery score). Taken together, our results clearly indicated for the first time that strategies targeting multiple proinflammatory pathways may be more effective than a single effector molecule for the treatment of SCI.",not reported,focus on combination of minoguanidine (AG) and dexamethasone (DEX) but AG not of interest so only reported DEX group alone ,Yes (drug of interest + drug not of interest),
Lucie,Saganová et al,2009,Effects of long-term FK506 administration on functional and histopathological outcome after spinal cord injury in adult rat,10.1007/s10571-009-9395-1,English,,included,,,,,,rats,Wistar,19,9,,,10,,,,male 100%,male,100,not reported,,,,,,Not reported,range: [300-330](g),,,300,330,g,,level: T8-T9; severity: not reported,T8 - T9,Not reported,compression,"laminectomy + balloon-compression (thoracic spinal column was exposed and small opening was drilled in the Th10 vertebral arch with a dental drill. The periosteal membrane was opened and a 2-French Fogarty catheter was inserted into the epidural space and advanced cranially so that the center of the balloon rested at the Th8–Th9 segment level of the spinal cord. The balloon (connected to a 50 ll Hamilton syringe) was rapidly inflated with 12 microL of distilled water for 5 min, afterwhich the catheter was removed)",6 weeks,tacrolimus,tacrolimus,,1 mg/kg/day,15 min after SCI,,6 weeks,daily,intraperitoneally,,neurological/functional/behavioral assessment,BBB scale,,"ranging from 0 to 21, where 0 reflects complete paraplegia and 21 reflects a normal performance","first done at 24 h after injury and then, weekly throughout the 6-week survival period",,not reported,no effect,There were no significant differences in neurological scores between placebo and experimental group at any time point.,histological assessment,"Morphometric Analysis of the Lesion, sparing of the white matter, loss of gray matter, aggregates of macrophages, glial cells and vascular elements",6 weeks,not reported,no effect,no effect in spared white or gray matter ,"anesthesia: halothane (1.5–2% halothane in air delivered via face mask), euthanasia: transcardially perfused with saline followed by 4% paraformaldehyde in 0.1 M phosphate buffer","long-term FK506 treatment did not affect the parameters of outcome following balloon-compression SCI in the rat; however, multiple effects of FK506 should be taken into account when evaluating the outcomes in transplantation studies.",not reported,no effect found for tacrolimus,No,
Catherine,Hall et al,1989,Correlation Between Attenuation of Posttraumatic Spinal Cord Ischemia and Preservation of Tissue Vitamin E by the 21-Aminosteroid U74006F: Evidence for an In Vivo Antioxidant Mechanism,10.1089/neu.1989.6.169,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Seeds et al,2011,Plasminogen Activator Promotes Recovery Following Spinal Cord Injury,10.1007/s10571-011-9701-6,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Liu et al,2017,FK506 Attenuates the Inflammation in Rat Spinal Cord Injury by Inhibiting the Activation of NF-kappa B in Microglia Cells,10.1007/s10571-016-0422-8,English,,excluded,Out of scope,No assessments of interest,only histology not of interest,,,rats,Sprague Dawley,24?,,,,,,,,male 100%,male,100,not reported (adult),,,,,,Adult,range: [220-250](g),,,220,250,g,,level: T9-T11; severity: not reported,T9 - T11,Not reported,contusion,laminectomy + weight drop contusion (10-g metal rod at a height of 25 mm),"3, 7, 14, and 21 days after SCI",tacrolimus,tacrolimus,,0.5 mg/kg,30 min after operation,,single dose,-,oral,,-,-,,-,-,,-,,-,histological assessment,microglia population,"3, 7, 14, 21 days",not reported,no effect,cell number has no significant difference between post-injury cords treated with or without FK506,"anesthesia: 4 % sodium pentobarbital (40 mg/kg, i.p.); postop: penicillin (intramuscularly, 100,000 unit/per animal/day) and buprenorphine (0.03 mg/kg) for 3 days to prevent post operative infection and to relieve the pain from surgery","In conclusion, we found that FK-506 prevents the activation of NF-jB in microglia, which is consistent with the results obtained from the reduced production of proinflammatory cytokines in the SCI response. Thus, FK506 treatment may be useful in the management of patients  with SCI.",not reported,"use penicillin, buprenorphin",No,
Catherine,Alvarez-Mejia et al,2015,Functional recovery in spinal cord injured rats using polypyrrole/iodine implants and treadmill training,10.1007/s10856-015-5541-0,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Fabela-Sánchez et al,2018,Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats,10.1007/s10856-017-6016-2,English,,included,,,,,,rats,Long Evans,60,6,,,6,,,10 groups of 6 animals,female 100%,female,0,not reported,,,,,,Not reported,range: [250-300](g),,,250,300,g,,level: T9; severity: moderate,T9,moderate,contusion,laminectomy + weight drop contusion (NYU impactor),8 weeks,"rat serum albumin (RSA), iodine-doped polypyrrole particles synthesised by plasma (PPPy/I, not of interest)",albumin,,10 microL of a solution of 14 mg/mL,2 days after,,single dose,-,intrathecally,,neurological/functional/behavioral assessment,BBB scale,,"22 points, where zero indicates null mobility of the hind limbs and 21 a normal gait, 3 observers with kappa index of 0.7","24 h after TSCI, then once per week",,yes,no effect,no significant different in albumin vs control group in terms of BBB score,-,-,-,-,,-,"anesthesia: ketamine and xylazine (77.5 and 12.5 mg/kg of body weight, respectively) intramuscularly, followed by asepsis and antisepsis protocols; postop: antibiotic (1,200,000 IU of penicillin benzatinic) intramuscularly and an anti-inflammatory (5 mL/2 L of paracetamol in the drinking water) orally, irritations and skin ulcers due to compression by position were treated topically to avoid infections","In vivo tests showed that this interaction may be beneficial in the treatment of traumatic spinal cord injury (TSCI), depending on the surface characteristics with or without rat serum albumin (RSA). The TSCI + P1 and TSCI + P2 + RSA groups obtained significant differences in functional recovery compared with the control group according to the Basso, Beattie and Bresnahan scale (BBB)",not reported,"use ketamine, paracetamol, penicillin",Yes (drug of interest + drug not of interest),
Lucie,Darvishi et al,2014,Decreased GFAP Expression and Improved Functional Recovery in Contused Spinal Cord of Rats Following Valproic Acid Therapy,10.1007/s11064-014-1429-5,English,,included,,,,,,rats,Sprague Dawley,>= 220,10,,,200,40,,all animals with 500 mg/kg died,female 100%,female,0,not reported,,,,,,Not reported,range: [220-240](g),,,220,240,g,,level: T8; severity: moderate,T8,moderate,contusion,laminectomy + weight drop contusion (dropping the 10 g rod (2.5 mm in diameter) weight from 12.5 mm on the exposed spinal cord surface),12 weeks,valproic acid,valproic acid,,"150, 200, 300, 400 or 500 mg/kg","2, 6, 12 or 24 h",,single dose,-,intraperitoneally,,neurological/functional/behavioral assessment,"BBB score, H-reflex analysis",,"BBB: 0 (complete paralysis) to 21 (normal mobility), 2 examiners, 4 min, plastic container with 110 cm diameter and 50 cm height, evaluated the rats for wounds in the hind limbs, tail and foot autophagia (autotomy) and perineal infection, measured hind limb locomotor ability of the rats and their body positions for the right side up and left side up, average score for these two positions was evaluated; H-reflex: ratio of the maximum H to maximum M reflexes (H/M ratio: Hmax and Mmax waves were recorded in order to calculate the H max /M max), recording was done at the plantar muscles of the rats under anesthesia, amplitudes of M and H-waves as determined by the maximum to maximum values of each waveform, were used for calculating the average H/M ratio.","BBB: daily for 10 days before surgery, while at post-surgery, it was at day 1, day3 and 1 week, then twice a week for 2 weeks, and finally once a week for 12 weeks; H-reflex analysis: Pre-op, and at 1, 6 and 12 weeks post-operation",,not reported,mixed (stats/no stats),"BBB: optimal dose was 300 mg/kg at 12 h post-injury, where the score was significantly higher than all of the other experimental groups at all doses used in the therapy protocol (P < 0.05) as well as the untreated controls (P < 0.05), significance between control and treated not tested (?); H-reflex: no comparison with control group, ""value of H/M ratio in 300 mg/kg was at 12 h, which was significantly lower than the other subgroups used in the study""; positive effect only refers to 300 mg/kg; there was dose dependent increase in BBB score as it reached the highest value at 300 mg/kg and then it declined at 400 mg/kg",histological assessment,"cavitation, percentage of the volume fraction was calculated by dividing the cavity area of each section to the total area of the spinal cord, total tissue of the spinal cord",12 weeks,not reported,mixed (stats/no stats),"The morphometric analysis shows that the lowest volume density of cavitation was at 300 g/kg (12 h group, the epicenter region), which was significantly lower than that of the epicenter regions at the subgroups used in the study; The regeneration rate was estimated according to Naghdi et al. [39], and the highest rate was at 300 mg/kg; ","anesthesia: ketamine (80 mg/kg) and xylazine (10 mg/kg); postop: prophylactic antibiotic was given (cefazolin: 50 mg/kg) for 3 days, in order to decrease the pain, tramadol was used every 12 h for 3 days (0.2 mg/kg); euthanasia: deeply anesthetized by intraperitoneal injection of ketamine (80 mg/kg)",We conclude that treating the contused rats with 300 mg/kg of VPA at 12 h post-injury improves the functional outcome and reduces the traumatized SC gliosis,not reported,"there was dose dependent increase in BBB score as it reached the highest value at 300 mg/kg and then it declined at 400 mg/kg; The animals treated with 500 mg/kg at all delivery times died; use tramadol, ketamine, cefazolin",No,
Lucie,Li et al,2018,Lithium Inhibits GSK3 beta Activity via Two Different Signaling Pathways in Neurons After Spinal Cord Injury,10.1007/s11064-018-2488-9,English,,excluded,Non-sci population,,Out of scope: isolated spinal cords,,,mice,C57BL/6 and B6/NTg(Thy1-YFP)14 Mes/J transgenic mice,,,,,,,,,male 100%,,,3 months old,,,,,,,~25g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Yu et al,2014,Curcumin improves the integrity of blood-spinal cord barrier after compressive spinal cord injury in rats,10.1016/j.jns.2014.07.056,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zu et al,2014,Curcumin improves the recovery of motor function and reduces spinal cord edema in a rat acute spinal cord injury model by inhibiting the JAK/STAT signaling pathway,10.1016/j.acthis.2014.08.004,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Ni et al,2014,Curcumin inhibits the increase of labile zinc and the expression of inflammatory cytokines after traumatic spinal cord injury in rats,10.1016/j.jss.2013.12.023,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Tohda et al,2011,Current and future therapeutic strategies for functional repair of spinal cord injury.,10.1016/j.pharmthera.2011.05.006,English,,excluded,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Qi et al,2019,Cyclic adenosine phosphate improves functional recovery after spinal cord injury via activating unfolded protein response,10.1691/ph.2019.8347,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Lau et al,2013,"Cyclic AMP promotes axon regeneration, lesion repair and neuronal survival in lampreys after spinal cord injury",10.1016/j.expneurol.2013.09.004,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Ma et al,2012,Cysteine- and glycine-rich protein 1a is involved in spinal cord regeneration in adult zebrafish,10.1111/j.1460-9568.2011.07958.x,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Pan et al,2002,Cytokine activity contributes to induction of inflammatory cytokine mRNAs in spinal cord following contusion,10.1002/jnr.10215,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Kang et al,2007,Cytoplasmic extracts from adipose tissue stromal cells alleviates secondary damage by modulating apoptosis and promotes functional recovery following spinal cord injury,10.1111/j.1750-3639.2007.00070.x,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Liu et al,2014,Cytosolic Phospholipase A(2) Protein as a Novel Therapeutic Target for Spinal Cord Injury,10.1002/ana.24134,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomás and Lucie,Torres et al,2018,Dantrolene and mesenchymal stem cells promote functional improvement in Wistar rats with spinal cord injury,10.1590/1678-5150-PVB-5165,Portuguese,,included,,,,,,rats,Wistar,60,12,,,12,,,"5 groups of 12, 1 sham, 1 control, 1 dantrolene, 2 treatment groups not of interest",male 100%,male,100,20 weeks,20,,,,Weeks,,"450(average, g)",450,,,,g,,level: T12; severity: paraplegia,T12,paraplegia,contusion,"laminectomy + weight drop contusion (stereoaxis device from EV-UFMG, weight of 70g, 5 min compression on the exposed spinal cord)",28 days,dantrolene,dantrolene,,10 mg/kg,1h post laminectomy,,single dose,-,intraperitoneally,,neurological/functional/behavioral assessment,"motor capacity, proprioception, tactile capacity, inclined plane, sensitivity to pain",,"based on reference Torres et al. 2010b: motor capacity assessed in open field, proprioception and tactile capacity via manual extension of limb and observation of response (return of limb, paw placement), pain sensitivity via clamp (?, likely pinch) on pelvic limb","day 0 (24h before surgery), 1, 4, 7, 10, 13, 16, 19, 22, 25, 28",,not reported,mixed effects (assessment),"motor function: dantrolene group significantly better than control starting day 22 until the end; sensitivity to pain: dantrolene significantly better than control group starting day 10 until the end of the experiment (go back to the sham group); no difference in proprioception, tactile positioning between dantrolene and control; inclined plane significantly better in dantrolene group compared to control group starting day 22 until end of the experiment",-,-,-,-,,-,"preop: tramadol (2 mg/kg, oral), anesthesia: isoflurane per mask; antibiotherapy: cefalexine (30 mg/kg, IV)",It was concluded that dantrolene and MSCs for the treatment of SCI in rats have neuroprotection effect and promote functional neurological improvement.,longer observation period might be needed to observe effects from combination of dantrolene and stem cells,"paper in Portuguese, used tramadol, isoflurane",Yes (drug of interest + drug not of interest),
Lucie,Guo et al,2018,Metformin Protects Against Spinal Cord Injury by Regulating Autophagy via the mTOR Signaling Pathway,10.1007/s11064-018-2525-8,English,,included,,,,,,rats,Sprague Dawley,60,>= 9,,,>= 9,,,5 animals per group in BBB,female 100%,female,0,not reported,,,,,,Not reported,range: [200-240](g),,,200,240,g,,level: T9-T10; severity: not reported,T9 - T10,Not reported,contusion,"laminectomy + weight drop contusion (10-g weight, height of 5cm above the exposed dura, hind limbs twitching, tail swing, and spinalcord hematoma formation were used as evidence of a successful SCI model)",7 or 28 days,metformin ,metformin,,10 mg/kg ,not reported,,3 days,daily,intraperitoneally,,neurological/functional/behavioral assessment,BBB scale,,"0=complete immobility, 21=normal function, graded according to the rat's motor motion and rating scale","1, 3, 7, 14, 21 and 28 days after SCI",,yes,positive effect,"BBB scores were significantly higher on days 14 (10.33 ± 1.53 vs. 7.00 ± 1.00, p = 0.034), 21 (15.2 ± 1.57 vs. 9.67 ± 1.60, p = 0.005) and 28 (16.00 ± 2.00 vs. 11.67 ± 1.45, p = 0.003) post injury in metformin treated animals when compared to untreated animals ",histological assessment,"tissue sparing, number of surviving neurons",7 days,not reported,positive effect,"the number of surviving neurons was higher in metformin-treated animals compared to the untreated SCI animals (22.00 ± 2.12 vs. 14.60 ± 1.82, p < 0.001) ","anesthesia: intraperitoneal injection of 10% chloral hydrate (0.3 ml/100 g), euthanasia: anesthetized and perfused with a 4% paraformaldehyde solution","taken together, these findings suggest that metformin functions as a neuroprotective agent following SCI by promoting autophagy and inhibiting apoptosis by regulating the mTOR/P70S6K signaling pathway",not reported,used chloral hydrate,No,
Catherine,Jiang et al,2007,Guanosine reduces apoptosis and inflammation associated with restoration of function in rats with acute spinal cord injury,10.1007/s11302-007-9079-6,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Reigada et al,2017,Diadenosine tetraphosphate (Ap(4)A) inhibits ATP-induced excitotoxicity: a neuroprotective strategy for traumatic spinal cord injury treatment,10.1007/s11302-016-9541-4,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Tang et al,2020,Deferoxamine Ameliorates Compressed Spinal Cord Injury by Promoting Neovascularization in Rats,10.1007/s12031-020-01564-1,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Liu et al,2011,Deferoxamine improves neurological function in a rat model of experimental spinal cord injury,10.3969/j.issn.1673-5374.2011.35.005,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Yao et al,2019,Deferoxamine promotes recovery of traumatic spinal cord injury by inhibiting ferroptosis,10.4103/1673-5374.245480,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Nowicki et al,2009,Deferoxamine-induced neurite outgrowth and synapse formation in postnatal rat dorsal root ganglion (DRG) cell cultures,10.1016/j.ejcb.2009.05.003,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Hill et al,2001,Degeneration and sprouting of identified descending supraspinal axons after contusive spinal cord injury in the rat,10.1006/exnr.2001.7734,English,,excluded,Out of scope,No drug of interest,Out of scope (no drug tested),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Figley et al,2014,Delayed administration of a bio-engineered zinc-finger VEGF-A gene therapy is neuroprotective and attenuates allodynia following traumatic spinal cord injury,10.1371/journal.pone.0096137,English,,excluded,Out of scope,No drug of interest,No drug of interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie,Chio et al,2021,Delayed administration of high dose human immunoglobulin G enhances recovery after traumatic cervical spinal cord injury by modulation of neuroinflammation and protection of the blood spinal cord barrier,10.1016/j.nbd.2020.105187,English,,included,,,,,,rats,Wistar,173,69,,,70,,,"89 for short-term readouts and 84 for long-term tissue and neurological assessments; sham n=20, missing 14 rats in the counts",female 100%,female,0,not reported (adult),,,,,,Adult,range: [250-300](g),,,250,300,g,,level: C7-T1; severity: moderate-severe,C7 - T1,moderate - severe,compression,"laminectomy + compression-contusion (modified aneurysm clip calibrated to deliver 35 g of compressive force, compress for 1 min before release and removal)","24h, 8 weeks",Human immunoglobulin G (hIgG),immune globulin,,100 mg/mL (2g/kg),"15 min, 1h or 4h",,single dose,-,intravenously,,"neurological/functional/behavioral assessment, electrophysiology","BBB scale, inclined plane test, grip strength meter, tail flick test, gait analysis with CatWalk XT 10.6 multivariate system, somatosensory evoked potentials (SSEPs)",,"BBB: 21-point open-field; inclined plane test:  flat plane surface with their body axis parallel to the plane and were required to maintain their body position on the plane for 5 s for 3 of 5 attempts, if a rat was able to maintain its position for 3 trials, the angle of the plane was subsequently increased at increments of 5◦ until the rat failed to maintain its position; grip strength meter: animals were held by the hindlimbs and lower abdomen and drawn backward at a consistent speed within reach of a metal rung connected to the strength apparatus, strength meter measures the maximal force achieved when the grip was broken, strength was averaged over 5 successful grasps; tail flick test: wrapped in a blanket while the tail was left exposed to a beam of light, which served as a heat source, the time elapsed before the rat ‘flicked’ its tail in response to heat was recorded; CatWalk: successful performance required three complete crossings with at least three consecutive step cycles for analysis, paw prints labeled",neurobehavioral assessments: once per week for 8 weeks post-SCI; electrophysiology and CatWalk: 8 weeks after injury,,yes,mixed effects (assessment) + mixed effects (timing),"BBB: hIgG (2 g/kg) demonstrated better hindlimb function (all groups), inclined plane test and grip strength meter: significant improvements for grip strength and trunk stability began at 4 weeks post SCI; gait analysis with CatWalk XT 10.6 multivariate system: quantifiable positive changes in gait as measured by the Noldus CatWalk system. Specifically, delayed administration of hIgG (2 g/kg) led to improvements in the regulatory index (a measure of interlimb coordination during gait), stride length (a measure of distance between two consecutive paw placements of the same paw) and swing speed (computed from stride length and swing duration), no improvements in the animal’s ability to maintain balance during movement or preferred paw usage during motion, as indicated by base of support and paw area, respectively; somatosensory evoked potentials (SSEPs) and tail flick test: no differences in pain sensation across all time points regardless of treatment groups,  delayed administration of hIgG (2 g/ kg) resulted in greater electrical activity in the brain due to tactile stimulation at the tibialis anterior. ",histological assessment,"total tissue, gray matter, white matter, lesion and cavity volumes",24h after injury,yes,mixed effects (assessment),"delayed administration of hIgG (2 g/kg) resulted in greater volumes of healthy white and gray matter, as well as a concurrent decrease in cavity and lesion tissue volume at all 3 time points, hIgG treatment increased the number of neurons (NeuN+/DAPI+ cells) in the spinal cord gray matter, Protective effects were not observed in the spinal cord gray matter from epicenter and caudal regions. Overall, tissue and neuronal preservation in animals treated with hIgG (2 g/kg) correlated with improved motor and sensory functions.",anesthesia: not reported; postop: 1 milliliter (mL) of buprenorphine (0.03 g/kg) and 5 mL of saline; euthanasia: not reported,"Overall, we demonstrate that delayed administration of hIgG (2 g/kg) at 1 and 4-h post-injury enhances short-term and long-term benefits after SCI by modulating local and systemic neuroinflammatory cascades.",not reported,use buprenorphine,No,
